Accommodates,Bathrooms,Bedrooms,Beds,Check.In,Check.Out,Property.type,Room.type,Extra.people,Weekly.discount,Monthly.discount,Cancellation,Response.time,ID,price,e,city,price_per_indv
2, 1 (Private),0,1, 3PM - 12AM (midnight), 11AM, Apartment, Entire home/apt, No Charge, 0%, 0%, Strict, within an hour,13061881,70,322,Chicago,35
2, 1 (Shared),1,1, Anytime after 2PM, 11AM, Apartment, Private room,,,, Moderate, within an hour,13675029,90,323,Chicago,45
2, 1.5,1,1, Anytime after 2PM, 12PM (noon), House, Private room, No Charge, 0%, 0%, Flexible, within an hour,4354983,99,324,Chicago,49.5
2, 1 (Shared),1,1, 5PM - 9PM, 12PM (noon), Apartment, Private room, $10 / night after the first guest, 10%, 12%, Strict, within an hour,9041069,129,325,Chicago,64.5
2, 1 (Shared),1,1, Flexible,, Apartment, Private room, No Charge, 7%,, Flexible, within a few hours,12367172,45,326,Chicago,22.5
2, 1,1,1,,, Apartment, Private room, No Charge,,, Moderate, within a day,14076418,55,327,Chicago,27.5
8, 1,3,4, Anytime after 4PM, 11AM, Apartment, Entire home/apt, $10 / night after 3 guests, 5%, 10%, Strict, within a few hours,11727954,75,328,Chicago,9.375
1, 1 (Shared),1,1, 2PM - 10PM, 11AM, Apartment, Private room,, 15%,, Moderate, within an hour,2828802,80,329,Chicago,80
4, 2,2,3, 2PM - 10PM, 1PM, Condominium, Entire home/apt, No Charge,,, Moderate, within an hour,1412905,89,330,Chicago,22.25
4, 1 (Shared),1,2,,, Apartment, Shared room, $10 / night after the first guest,,, Flexible, within a few hours,14014338,84,331,Chicago,21
2, 1,1,1,,, Apartment, Entire home/apt, No Charge,,, Flexible,,8387305,60,332,Chicago,30
NA,,NA,NA,,,,,,,,,,8917609,16,333,Chicago,NA
2, 1,1,1, Anytime after 4PM, 12PM (noon), Loft, Entire home/apt,, 15%, 20%, Strict, within an hour,3440257,46,334,Chicago,23
2, 1,1,1, Anytime after 3PM, 12PM (noon), House, Private room, No Charge, 5%, 15%, Flexible, within a few hours,8321204,65,335,Chicago,32.5
3, 1,1,1, 1PM - 2AM (next day), 10AM, Apartment, Entire home/apt, $20 / night after 2 guests, 20%, 30%, Strict, within an hour,9992242,50,336,Chicago,16.6666666666667
2, 1,1,1, Anytime after 4PM, 11AM, Condominium, Private room, No Charge, 10%, 15%, Flexible, within an hour,12293741,60,337,Chicago,30
